owner,customer,ssi,method
Sequoia 1 Solar Project,Sequoia 1 Solar Project,False,unmatched - passthrough
"Roadrunner Solar, LLC","Roadrunner Solar, LLC",False,unmatched - passthrough
"Kola Energy Storage, LLC","Kola Energy Storage, LLC",False,unmatched - passthrough
"BHE Renewables, LLC",BHE Renewables,True,rule
"Mammoth North, LLC","Mammoth North, LLC",False,unmatched - passthrough
"SE Athos II, LLC","SE Athos II, LLC",False,unmatched - passthrough
"Waco Solar, LLC","Waco Solar, LLC",False,unmatched - passthrough
"Jordan Creek Wind Farm, LLC","Jordan Creek Wind Farm, LLC",False,unmatched - passthrough
"Tri-State G & T Assn, Inc","Tri-State G & T Assn, Inc",False,unmatched - passthrough
Pio Pico Energy Center LLC,Pio Pico Energy Center LLC,False,unmatched - passthrough
Idaho Power Co,IDACORP,False,rule
"Cedar Springs Wind IV, LLC","Cedar Springs Wind IV, LLC",False,unmatched - passthrough
Southern California P P A,Southern California P P A,False,unmatched - passthrough
"MPC Generating, LLC","MPC Generating, LLC",False,unmatched - passthrough
Northeast Energy Associates LP,Northeast Energy Associates LP,False,unmatched - passthrough
Florida Renewable Partners,Florida Renewable Partners,False,unmatched - passthrough
Exxon Mobil Refining and Supply Co.,Industrial Self-Generation (various),False,rule
Wisconsin Electric Power Co,We Energies,True,rule
WPPI Energy,WPPI Energy,False,unmatched - passthrough
Oxy Vinyls LP,Oxy Vinyls LP,False,unmatched - passthrough
"Victoria WLE, LP","Victoria WLE, LP",False,unmatched - passthrough
Starwood Energy Group Global,Starwood Energy Group Global,False,unmatched - passthrough
Puget Sound Energy Inc,Puget Sound Energy,False,rule
"Evergy Kansas South, Inc",Evergy,True,rule
Borger Energy Associates LP,Borger Energy Associates LP,False,unmatched - passthrough
Orsted Onshore North America,Orsted North America,True,rule
RW Miller Power LLC,RW Miller Power LLC,False,unmatched - passthrough
Clearwater Energy Resources LLC,Clearwater Energy Resources LLC,False,unmatched - passthrough
"Cobalt Power, L.L.C.","Cobalt Power, L.L.C.",False,unmatched - passthrough
Consolidated Edison Co-NY Inc,ConEdison Group,False,rule
"Acciona Energy USA Global, LLC",Nordex Acciona North America,True,rule
"Ector County Generation, LLC","Ector County Generation, LLC",False,unmatched - passthrough
Crete Energy Venture LLC,Crete Energy Venture LLC,False,unmatched - passthrough
"Five Wells Solar Center, LLC","Five Wells Solar Center, LLC",False,unmatched - passthrough
"Middle River Power II, LLC","Middle River Power II, LLC",False,unmatched - passthrough
University Park Energy LLC,Institutional Self-Generation (various),False,rule
Middletown Power LLC,Middletown Power LLC,False,unmatched - passthrough
"Foard City Wind, LLC","Foard City Wind, LLC",False,unmatched - passthrough
"Frontier Windpower II, LLC","Frontier Windpower II, LLC",False,unmatched - passthrough
"Gilbert Power, LLC","Gilbert Power, LLC",False,unmatched - passthrough
Evergy Missouri West,Evergy,True,rule
"Azure Sky Wind Project, LLC","Azure Sky Wind Project, LLC",False,unmatched - passthrough
